Closed,Site Name(s),Facility Name,Project Short Name,OH Region,LOB,Project Type,OH Go-Live Date,Hospital Go-Live Date,Project Status,OH Project Lead,Kanban-Project Lead,OH Specialist(s),Charter Status,Prelim HL7,Cycle 1,Cycle 2,eCTAS CAV,Kick-Off Date,Testing Start,Testing End,Current Integration,Future Integration,OH Go-Live Date Confirmed,Baseline Testing Start,Baseline Testing End,Labels
No,Site A,Memorial Hospital,Healthcare Connect,Northeast,Acute Care,Integration,2025-03-15,,Active,"Smith, John","Smith, John","Johnson, Mary",Complete,Complete,In Progress,Pending,Not Started,2024-11-01,2025-02-01,2025-03-10,HL7 v2.5,HL7 FHIR,Yes,2025-02-01,2025-03-10,Priority
No,Site B,County Medical Center,Healthcare Connect,Northeast,Acute Care,Integration,2025-04-20,,Planning,"Smith, John","Smith, John","Williams, James",Complete,In Progress,Not Started,Not Started,Not Started,2024-12-15,2025-03-15,2025-04-15,Legacy,HL7 FHIR,No,2025-03-15,2025-04-15,
No,Site C,Valley Regional,Patient Portal,Midwest,Ambulatory,New Implementation,2025-02-28,,In Progress,"Davis, Sarah","Davis, Sarah","Johnson, Mary",Complete,Complete,Complete,In Progress,Not Started,2024-10-20,2025-01-20,2025-02-25,None,Patient Portal,Yes,2025-01-20,2025-02-25,High Priority
No,Site D,Central Hospital,Healthcare Connect,South,Acute Care,Integration,2025-05-10,,Active,"Brown, Michael","Brown, Michael","Martinez, Carlos",Complete,Complete,In Progress,Not Started,Not Started,2024-12-01,2025-03-20,2025-05-05,HL7 v2.3,HL7 FHIR,Yes,2025-03-20,2025-05-05,
No,Site E,Riverside Clinic,Patient Portal,West,Ambulatory,New Implementation,2025-03-30,,Active,"Davis, Sarah","Davis, Sarah","Williams, James",Complete,Complete,Complete,In Progress,In Progress,2024-11-10,2025-02-10,2025-03-25,Legacy Portal,Patient Portal,Yes,2025-02-10,2025-03-25,Priority
Yes,Site F,Northside Hospital,EHR Upgrade,Northeast,Acute Care,Upgrade,2024-12-15,,Completed,"Wilson, Jennifer","Wilson, Jennifer","Anderson, Lisa",Complete,Complete,Complete,Complete,Complete,2024-08-01,2024-10-15,2024-12-10,HL7 v2.5,HL7 v2.7,Yes,2024-10-15,2024-12-10,
No,Site G,Eastside Medical,Healthcare Connect,Northeast,Acute Care,Integration,2025-06-15,,Planning,"Smith, John","Smith, John","Johnson, Mary",In Progress,Not Started,Not Started,Not Started,Not Started,2025-01-15,2025-04-20,2025-06-10,HL7 v2.4,HL7 FHIR,No,2025-04-20,2025-06-10,
No,Site H,Mountain View Hospital,Telehealth,West,Acute Care,New Implementation,2025-04-05,,Active,"Taylor, Robert","Taylor, Robert","Martinez, Carlos",Complete,Complete,In Progress,Pending,Not Started,2024-11-20,2025-02-15,2025-04-01,None,Telehealth Platform,Yes,2025-02-15,2025-04-01,High Priority
No,Site I,Southside Clinic,Patient Portal,South,Ambulatory,New Implementation,2025-05-20,,Planning,"Davis, Sarah","Davis, Sarah","Anderson, Lisa",Complete,In Progress,Not Started,Not Started,Not Started,2024-12-20,2025-03-25,2025-05-15,Legacy Portal,Patient Portal,No,2025-03-25,2025-05-15,
No,Site J,Lakeside Hospital,Healthcare Connect,Midwest,Acute Care,Integration,2025-03-25,,Active,"Brown, Michael","Brown, Michael","Williams, James",Complete,Complete,Complete,In Progress,Not Started,2024-11-05,2025-02-05,2025-03-20,HL7 v2.5,HL7 FHIR,Yes,2025-02-05,2025-03-20,Priority
